"GAMEID","WEEK","QTR","START","POS","DEF","PASSER","TARGET","AIR YARDS","NOTES","PlayIden","play_id"
1,1,1,"14:21","SEA","DC","B.SILVERS","K.REYNOLDS",0,NA,"1_1_14:21",17527
1,1,1,"13:43","SEA","DC","B.SILVERS","K.REYNOLDS",18,NA,"1_1_13:43",6227
1,1,1,"12:18","DC","SEA","C.JONES","R.ROSS",19,NA,"1_1_12:18",23542
1,1,1,"11:53","DC","SEA","C.JONES","E.ROGERS",17,NA,"1_1_11:53",23541
1,1,1,"11:26","DC","SEA","C.JONES","D.PUMPHREY",-3,NA,"1_1_11:26",17523
1,1,1,"8:12","DC","SEA","C.JONES","N/A",17,NA,"1_1_8:12",17530
1,1,1,"7:43","DC","SEA","C.JONES","D.PUMPHREY",7,NA,"1_1_7:43",17560
1,1,1,"6:46","SEA","DC","B.SILVERS","C.JETER",5,NA,"1_1_6:46",17531
1,1,1,"5:04","SEA","DC","B.SILVERS","D.BYRD",26,NA,"1_1_5:04",28429
1,1,1,"4:30","SEA","DC","B.SILVERS","A.PROEHL",14,"CORRECT","1_1_4:30",28447
1,1,1,"3:48","DC","SEA","C.JONES","J.PRESSLEY",16,NA,"1_1_3:48",6413
1,1,1,"1:20","DC","SEA","C.JONES","E.ROGERS",7,NA,"1_1_1:20",17481
1,1,1,"0:43","DC","SEA","C.JONES","M.DUPRE",3,NA,"1_1_0:43",28486
1,1,1,"0:01","DC","SEA","C.JONES","D.ERNSBERGER",20,NA,"1_1_0:01",NA
1,1,2,"13:09","SEA","DC","B.SILVERS","B.JOHNSON",0,NA,"1_2_13:09",28437
1,1,2,"11:26","SEA","DC","B.SILVERS","A.MOORE",32,"CORRECT","1_2_11:26",6512
1,1,2,"10:53","SEA","DC","B.SILVERS","T.WILLIAMS",0,NA,"1_2_10:53",6518
1,1,2,"10:31","SEA","DC","B.SILVERS","A.PROEHL",10,NA,"1_2_10:31",23533
1,1,2,"10:23","DC","SEA","C.JONES","J.PRESSLEY",-6,NA,"1_2_10:23",17505
1,1,2,"9:41","DC","SEA","C.JONES","M.DUPRE",14,NA,"1_2_9:41",6541
1,1,2,"9:09","DC","SEA","C.JONES","D.PUMPHREY",5,NA,"1_2_9:09",6546
1,1,2,"6:50","SEA","DC","B.SILVERS","A.PROEHL",12,NA,"1_2_6:50",6670
1,1,2,"6:16","SEA","DC","B.SILVERS","K.REYNOLDS",3,NA,"1_2_6:16",17498
1,1,2,"5:42","SEA","DC","B.SILVERS","K.FARROW",-5,NA,"1_2_5:42",28492
1,1,2,"4:10","DC","SEA","C.JONES","E.ROGERS",-4,NA,"1_2_4:10",17511
1,1,2,"3:32","DC","SEA","C.JONES","M.DUPRE",5,NA,"1_2_3:32",17532
1,1,2,"2:00","SEA","DC","B.SILVERS","A.PROEHL",0,NA,"1_2_2:00",6673
1,1,2,"1:48","SEA","DC","B.SILVERS","D.BYRD",34,NA,"1_2_1:48",28444
1,1,2,"1:25","SEA","DC","B.SILVERS","K.REYNOLDS",23,NA,"1_2_1:25",17578
1,1,2,"1:19","SEA","DC","B.SILVERS","T.WILLIAMS",-2,NA,"1_2_1:19",NA
1,1,2,"1:03","SEA","DC","B.SILVERS","K.FARROW",2,NA,"1_2_1:03",28434
1,1,2,"0:26","SEA","DC","B.SILVERS","T.WILLIAMS",-2,NA,"1_2_0:26",28446
1,1,2,"0:20","DC","SEA","C.JONES","M.DUPRE",15,NA,"1_2_0:20",6729
1,1,3,"14:53","DC","SEA","C.JONES","S.COBBS",11,NA,"1_3_14:53",6787
1,1,3,"12:50","DC","SEA","C.JONES","E.ROGERS",21,NA,"1_3_12:50",17537
1,1,3,"12:07","DC","SEA","C.JONES","K.LEE",20,NA,"1_3_12:07",6820
1,1,3,"10:42","SEA","DC","B.SILVERS","A.PROEHL",12,NA,"1_3_10:42",28443
1,1,3,"9:14","DC","SEA","C.JONES","J.PRESSLEY",-6,NA,"1_3_9:14",17475
1,1,3,"6:57","DC","SEA","C.JONES","N/A",10,NA,"1_3_6:57",17501
1,1,3,"5:14","SEA","DC","B.SILVERS","K.FARROW",-4,NA,"1_3_5:14",17554
1,1,3,"4:20","DC","SEA","C.JONES","E.ROGERS",18,NA,"1_3_4:20",28489
1,1,3,"3:43","DC","SEA","C.JONES","N/A",1,NA,"1_3_3:43",28494
1,1,3,"1:51","DC","SEA","C.JONES","R.ROSS",27,NA,"1_3_1:51",6989
1,1,3,"1:38","SEA","DC","B.SILVERS","C.JETER",14,NA,"1_3_1:38",7012
1,1,3,"0:37","SEA","DC","B.SILVERS","A.PROEHL",3,NA,"1_3_0:37",28431
1,1,4,"15:00","SEA","DC","B.SILVERS","T.WILLIAMS",1,NA,"1_4_15:00",28441
1,1,4,"14:23","SEA","DC","B.SILVERS","A.MOORE",17,"CORRECT","1_4_14:23",7040
