"PlayID","GameID","DriveID","Sequence","TeamID","ClubCode","Quarter","StartTime","Down","Distance","Yardline","Situation","PlayType","StartHomeScore","StartAwayScore","IsScoringPlay","EndTime","EndHomeScore","EndAwayScore","ScoringPlayDescription","PlayDescription","ShortPlayDescription","FirstDownDescription","DriveTotalPossessionTime","DriveNetYards","DrivePlays","playScoreType","playScorer","playScoringTeamId","firstDownReset","Notes","OffensePts","Yardline100","GoalToGo","SecondsLeftInHalfStart","YardsGained","RushAttempt","PassAttempt","Interception","Penalty","Sack","Scramble","QBSpike","QBKneel","PlayFormation","TacklerName1","TacklerName2","PasserName","RusherName","TargetName","no_score_prob","opp_fg_prob","opp_safety_prob","opp_td_prob","fg_prob","safety_prob","td_prob","ep","epa"
15268,8,6581,1,601,"HOU",1,"15:00",1,10,"STL 30",NA,"Kick off",0,0,FALSE,"14:52",0,0,"","T.Russolino kickoff from STL 30, 65 yds to HOU 5. A.Harris out of bounds at HOU 42 for 65 yards (R.White)","Kickoff","","3:59",32,9,"","",0,FALSE,"",0,68,0,1800,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0.00118940054358468,0.139267165562182,0.00249129866109976,0.217438673165424,0.25928677168481,0.00369061767307694,0.376636072709823,1.39724055343043,0.814040318270312
15275,8,6581,2,601,"HOU",1,"14:52",1,10,"HOU 42","1st & 10 HOU 42","Pass",0,0,FALSE,"14:16",0,0,"","(Shotgun) P.Walker pass short right to C.Phillips to HOU 46 for 4 yards (D.Hillary)","4 yard pass","","3:59",32,9,"","",0,FALSE,"",0,58,0,1792,4,0,1,0,0,0,0,0,0,"Shotgun","D.Hillary",NA,"P.Walker",NA,"C.Phillips",0.000972461658941555,0.108499369437699,0.00106063163793745,0.169100986008121,0.293702320057634,0.00363729125071897,0.423026939948948,2.21128087170074,-0.0772595026376188
15282,8,6581,3,601,"HOU",1,"14:16",2,6,"HOU 46","2nd & 6 HOU 46","Rush",0,0,FALSE,"13:50",0,0,"","(Shotgun) N.Holley rush right tackle out of bounds at STL 43 for 11 yards (W.Hill)","11 yard rush","R1","3:59",32,9,"","",0,FALSE,"",0,54,0,1756,11,1,0,0,0,0,0,0,0,"Shotgun","W.Hill",NA,NA,"N.Holley",NA,0.00108561203444023,0.110074391663198,0.00111089688638062,0.171074581280609,0.303537563898867,0.00387150624098949,0.409245447995516,2.13402136906313,1.07003228449854
15289,8,6581,4,601,"HOU",1,"13:50",1,10,"STL 43","1st & 10 STL 43","Pass",0,0,FALSE,"13:25",0,0,"","(Shotgun) P.Walker pass incomplete short left to S.Coates.","Incomplete pass","","3:59",32,9,"","",0,TRUE,"",0,43,0,1730,0,0,1,0,0,0,0,0,0,"Shotgun",NA,NA,"P.Walker",NA,"",0.000833967964111288,0.0706420954076734,0.000278755990754554,0.109598988360576,0.336317296734676,0.00336863002632168,0.478960265515887,3.20405365356166,-0.505994043406819
15350,8,6581,5,601,"HOU",1,"13:25",2,10,"STL 43","2nd & 10 STL 43","Pass",0,0,FALSE,"12:56",0,0,"","(Shotgun) P.Walker pass short right to C.Phillips out of bounds at STL 34 for 9 yards (D.McCoil; D.Wade)","9 yard pass","","3:59",32,9,"","",0,FALSE,"",0,43,0,1705,9,0,1,0,0,0,0,0,0,"Shotgun","D.McCoil","D.Wade","P.Walker",NA,"C.Phillips",0.00100158542052043,0.0842724919549435,0.000544330637728345,0.132492844629872,0.357495735114921,0.00368278833968018,0.420510223902335,2.69805961015485,0.729961833627089
15355,8,6581,6,601,"HOU",1,"12:56",3,1,"STL 34","3rd & 1 STL 34","Rush",0,0,FALSE,"12:24",0,0,"","P.Walker rush right guard to STL 32 for 2 yards (G.President)","2 yard rush","R2","3:59",32,9,"","",0,FALSE,"",0,34,0,1676,2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,"P.Walker",NA,0.000891608991380757,0.0590684399364862,0.000294874821241898,0.0917674202804671,0.37062452653937,0.00274759463623296,0.474605534794821,3.42802144378193,0.317259007554731
15356,8,6581,7,601,"HOU",1,"12:24",1,10,"STL 32","1st & 10 STL 32","Pass",0,0,FALSE,"12:06",0,0,"","(Shotgun) P.Walker pass incomplete deep left to S.Coates.","Incomplete pass","","3:59",32,9,"","",0,TRUE,"",0,32,0,1644,0,0,1,0,0,0,0,0,0,"Shotgun",NA,NA,"P.Walker",NA,"",0.000849271542080733,0.0498574793110791,0.000101092178748311,0.0769764142653126,0.360042830070935,0.00307792354841319,0.509094989083431,3.74528045133667,-0.437727954616891
15327,8,6581,8,601,"HOU",1,"12:06",2,10,"STL 32","2nd & 10 STL 32","Pass",0,0,FALSE,"11:29",0,0,"","(Shotgun) P.Walker pass short middle to K.Lewis to STL 26 for 6 yards (D.McCoil)","6 yard pass","","3:59",32,9,"","",0,FALSE,"",0,32,0,1626,6,0,1,0,0,0,0,0,0,"Shotgun","D.McCoil",NA,"P.Walker",NA,"K.Lewis",0.000999232632105205,0.0593421600215323,0.000225334766695128,0.0932444888763818,0.398037099109774,0.00332853848286734,0.444823146110644,3.30755249671977,-0.106954056311908
15342,8,6581,9,601,"HOU",1,"11:29",3,4,"STL 26","3rd & 4 STL 26","Pass",0,0,FALSE,"11:06",0,0,"","(Shotgun) P.Walker pass incomplete short left to S.Coates (R.Nelson).","Incomplete pass","","3:59",32,9,"","",0,FALSE,"",0,26,0,1589,0,0,1,0,0,0,0,0,0,"Shotgun","R.Nelson",NA,"P.Walker",NA,"S.Coates",0.0010616663849676,0.0535960360507365,0.0001930261413391,0.0860847186147115,0.470537757627463,0.00349203771535426,0.385034757465428,3.20059844040787,-1.16535352054846
15358,8,6581,10,601,"HOU",1,"11:06",4,4,"STL 26","4th & 4 STL 26","Field Goal",0,0,TRUE,"11:01",3,0,"","(Field Goal) S.Castillo 44 yds field goal IS GOOD.","44 yard field goal","","3:59",32,9,"Field Goal","Sergio Castillo",601,FALSE,"",3,26,0,1566,0,0,0,0,0,0,0,0,0,"Field Goal",NA,NA,NA,NA,NA,0.00160034515555366,0.0729065358099871,0.00051121812810042,0.115369761726735,0.638406256453987,0.00514813162427791,0.166057751101358,2.0352449198594,-0.493516562913094
