Week,Date,Time,Away,Home,Network,AwayScore,HomeScore
1,2/8/2020,2,SEA,DC,ABC,19,31
1,2/8/2020,5,LA,HOU,FOX,17,37
1,2/9/2020,2,TB,NY,FOX,NA,NA
1,2/9/2020,5,STL,DAL,ESPN,NA,NA
2,2/15/2020,2,NY,DC,ABC,NA,NA
2,2/15/2020,5,TB,SEA,FOX,NA,NA
2,2/16/2020,3,DAL,LA,ABC,NA,NA
2,2/16/2020,6,STL,HOU,FS1,NA,NA
3,2/22/2020,2,HOU,TB,ABC,NA,NA
3,2/22/2020,5,DAL,SEA,FOX,NA,NA
3,2/23/2020,3,NY,STL,ESPN,NA,NA
3,2/23/2020,6,DC,LA,FS1,NA,NA
4,2/29/2020,2,LA,NY,ABC,NA,NA
4,2/29/2020,5,SEA,STL,FOX,NA,NA
4,3/1/2020,4,HOU,DAL,FS1,NA,NA
4,3/1/2020,7,DC,TB,ESPN2,NA,NA
5,3/7/2020,2,SEA,HOU,ABC,NA,NA
5,3/7/2020,5,NY,DAL,FOX,NA,NA
5,3/8/2020,3,STL,DC,FS1,NA,NA
5,3/8/2020,9,TB,LA,ESPN,NA,NA
6,3/14/2020,2,HOU,NY,ABC,NA,NA
6,3/14/2020,5,STL,TB,FS2,NA,NA
6,3/15/2020,4,DAL,DC,FS1,NA,NA
6,3/15/2020,7,LA,SEA,ESPN2,NA,NA
7,3/21/2020,2,DAL,TB,ABC,NA,NA
7,3/21/2020,5,LA,STL,FOX,NA,NA
7,3/22/2020,3,NY,SEA,ABC,NA,NA
7,3/22/2020,6,DC,HOU,FS1,NA,NA
8,3/28/2020,2,TB,DC,ABC,NA,NA
8,3/28/2020,5,STL,NY,FOX,NA,NA
8,3/29/2020,3,HOU,LA,ABC,NA,NA
8,3/29/2020,6,SEA,DAL,FS1,NA,NA
9,4/2/2020,8,DAL,HOU,FOX,NA,NA
9,4/4/2020,2,DC,NY,ABC,NA,NA
9,4/5/2020,12,TB,STL,ESPN,NA,NA
9,4/5/2020,6,SEA,LA,FS1,NA,NA
10,4/9/2020,8,LA,DAL,FOX,NA,NA
10,4/11/2020,2,HOU,SEA,ABC,NA,NA
10,4/12/2020,3,DC,STL,ABC,NA,NA
10,4/12/2020,6,NY,TB,FS1,NA,NA
11,4/18/2020,3,NA,NA,FOX,NA,NA
11,4/19/2020,3,NA,NA,ESPN,NA,NA
12,4/26/2020,3,NA,NA,ESPN,NA,NA
