"DAL_Rating","DC_Rating","HOU_Rating","LA_Rating","NY_Rating","SEA_Rating","STL_Rating","TB_Rating","DAL_Wins","DC_Wins","HOU_Wins","LA_Wins","NY_Wins","SEA_Wins","STL_Wins","TB_Wins","WEST_REG_CHAMP","EAST_REG_CHAMP","WEST_RU","EAST_RU","XFL_RU","XFL_CHAMP","WeeklyWinner1","WeeklyWinner2","WeeklyWinner3","WeeklyWinner4"
1488.09907180533,1434.53539406426,1583.15689619542,1473.2504099178,1558.83988025507,1401.91679778209,1567.28958727329,1492.91196270675,4,2,9,4,8,2,7,4,"HOU","NY","HOU","NY","DAL","STL","NY","STL","HOU","TB"
1477.16698615676,1492.19710140642,1609.45448087071,1436.46462167611,1515.02058984411,1399.47751369206,1519.92641964841,1550.29228670542,4,5,9,2,5,2,6,7,"HOU","TB","DAL","STL","TB","HOU","NY","STL","HOU","TB"
1518.14838470766,1452.47214278376,1616.90838179729,1456.40218763686,1508.76519315264,1432.29939347698,1539.56493094118,1475.43938550362,5,3,10,3,5,4,7,3,"DAL","STL","SEA","NY","STL","DAL","NY","STL","HOU","LA"
1510.87084072065,1471.39779908835,1573.12831589962,1475.82706152643,1540.39542301197,1420.34649448664,1569.42304582324,1438.6110194431,6,4,7,4,6,3,9,1,"HOU","STL","DAL","STL","NY","HOU","NY","STL","HOU","LA"
1487.1467513004,1471.64517831962,1616.50497088971,1418.05522102906,1517.63587875724,1444.64449426373,1519.34726600496,1525.02023943527,3,4,10,1,5,5,6,6,"SEA","TB","SEA","STL","TB","DAL","NY","STL","HOU","TB"
1495.46711313088,1468.11340398921,1576.41579918488,1489.8881168177,1568.96147001425,1421.77943333271,1491.97929356519,1487.39536996517,5,4,7,5,8,3,4,4,"HOU","NY","DAL","TB","NY","HOU","NY","DC","HOU","LA"
1490.21425942446,1534.28073746074,1564.11068756391,1452.92372284554,1536.14856767431,1419.90095787242,1492.07894792287,1510.34211923574,3,8,8,3,6,3,4,5,"HOU","DC","HOU","DC","NY","DAL","NY","DC","HOU","TB"
1482.00635288004,1472.1547841193,1530.41180344913,1511.52037171225,1587.28703952481,1402.39927805731,1507.88999866672,1506.33037159045,4,4,6,6,8,2,5,5,"LA","NY","HOU","TB","LA","NY","NY","STL","HOU","LA"
1504.82892144033,1526.23546289395,1527.51515727325,1454.42063296056,1516.51327241294,1457.28474521335,1518.13773911276,1495.06406869286,5,6,6,3,5,5,6,4,"HOU","DC","HOU","STL","DAL","DC","NY","DC","HOU","LA"
1532.83343487647,1495.66271564324,1591.86698411908,1492.46069612408,1502.41090831419,1401.8606803659,1488.86538298338,1494.03919757366,7,5,8,5,5,2,4,4,"HOU","NY","DAL","NY","DC","HOU","NY","DC","HOU","LA"
